‖央视频道‖,#genre#
广西卫视,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/gxws_4000.m3u8
山西卫视,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/shanxws_4000.m3u8
陕西卫视,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/sxws_4000.m3u8
内蒙古卫视,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/nmgws_4000.m3u8
宁夏卫视,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/nxws_4000.m3u8
西藏卫视,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/xzws_4000.m3u8
新疆卫视,
甘肃卫视,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/gsws_4000.m3u8
海南卫视,
贵州卫视,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/gzwshd_4000.m3u8
青海卫视,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/qhws_4000.m3u8
安多卫视,
兵团卫视,
海峡卫视,
珠江卫视,
南方卫视,
‖港台频道‖,#genre#
台湾丨華 視HD,http://341697390.r.fdccdn.net/live/tw_huashi_hd.m3u8
台湾丨民 視HD,http://341697390.r.fdccdn.net/live/tw_minshi_hd.m3u8
台湾丨台 視HD,http://341697390.r.fdccdn.net/live/tw_taishi_hd.m3u8
台湾丨公 視HD,http://341697390.r.fdccdn.net/live/tw_gongshi_hd.m3u8
台湾丨中 視HD,http://341697390.r.fdccdn.net/live/tw_zhongshi_hd.m3u8
台湾丨民視新聞台,http://341697390.r.fdccdn.net/live/tw_minshixinwen.m3u8
台湾丨中視經典台,http://341697390.r.fdccdn.net/live/tw_zhongshi_jd.m3u8
台湾丨TVBS HD,http://341697390.r.fdccdn.net/live/tw_tvbs.m3u8
台湾丨TVBS 新聞台,http://341697390.r.fdccdn.net/live/tw_tvbsn_hd.m3u8
台湾丨TVBS 歡樂台,http://341697390.r.fdccdn.net/live/tw_tvbsg_hd.m3u8
台湾丨八大第一台,http://341697390.r.fdccdn.net/live/tw_badadiyi.m3u8
台湾丨八大戲劇台,http://341697390.r.fdccdn.net/live/tw_badaxiju.m3u8
台湾丨八大娛樂台,http://341697390.r.fdccdn.net/live/tw_badayule.m3u8
台湾丨八大綜合台,http://341697390.r.fdccdn.net/live/tw_badazonghe.m3u8
台湾丨三立都會台,http://341697390.r.fdccdn.net/live/tw_sanliduhui.m3u8
台湾丨三立台灣台,http://341697390.r.fdccdn.net/live/tw_sanlitaiwan.m3u8
台湾丨三立綜合台,http://341697390.r.fdccdn.net/live/tw_sanlizonghe.m3u8
台湾丨東森綜合台,http://341697390.r.fdccdn.net/live/tw_dongsen_zh.m3u8
台湾丨東森幼幼台,http://341697390.r.fdccdn.net/live/tw_dongsen_yy.m3u8
台湾丨東森戲劇台,http://341697390.r.fdccdn.net/live/tw_dongsen_xj.m3u8
台湾丨東森電影台,http://341697390.r.fdccdn.net/live/tw_dongsen_dy.m3u8
台湾丨東森新聞台,http://341697390.r.fdccdn.net/live/tw_dongsen_xw.m3u8
台湾丨東森財經台,http://341697390.r.fdccdn.net/live/tw_dongsen_cj.m3u8
台湾丨東森洋片台,http://341697390.r.fdccdn.net/live/tw_dongsen_yp.m3u8
台湾丨中天亞洲台,http://341697390.r.fdccdn.net/live/tw_zhongtian_yz.m3u8
台湾丨中天娛樂台,http://341697390.r.fdccdn.net/live/tw_zhongtian_yl.m3u8
台湾丨中天綜合台,http://341697390.r.fdccdn.net/live/tw_zhongtian_zh.m3u8
台湾丨中天新聞台,http://341697390.r.fdccdn.net/live/tw_zhongtian_xw.m3u8
台湾丨靖天戲劇台,http://341697390.r.fdccdn.net/live/tw_jingtianxiju.m3u8
台湾丨靖天電影台,http://341697390.r.fdccdn.net/live/tw_jingtian_dy.m3u8
台湾丨靖天日本台,http://341697390.r.fdccdn.net/live/tw_jingtianriben.m3u8
台湾丨靖天卡通台,http://341697390.r.fdccdn.net/live/tw_jingtiankatong.m3u8
台湾丨龍華戲劇台,http://341697390.r.fdccdn.net/live/tw_longhua_xj.m3u8
台湾丨龍華洋片台,http://341697390.r.fdccdn.net/live/tw_longhua_yp.m3u8
台湾丨龍華動畫台,http://341697390.r.fdccdn.net/live/tw_longhua_dh.m3u8
台湾丨緯來體育台,http://341697390.r.fdccdn.net/live/tw_weilaitiyu.m3u8
台湾丨緯來電影台,http://341697390.r.fdccdn.net/live/tw_weilai_dy.m3u8
台湾丨緯來日本台,http://341697390.r.fdccdn.net/live/tw_weilai_rb.m3u8
台湾丨星衛電影台,http://341697390.r.fdccdn.net/live/tw_weixing_dy.m3u8
台湾丨星衛娛樂台,http://341697390.r.fdccdn.net/live/tw_weixing_yl.m3u8
台湾丨衛視電影台,http://341697390.r.fdccdn.net/live/tw_weishi_dy.m3u8
台湾丨衛視西片台,http://341697390.r.fdccdn.net/live/tw_weishi_xp.m3u8
台湾丨高點綜合台,http://341697390.r.fdccdn.net/live/tw_gaodian_zh.m3u8
台湾丨龍祥時代台,http://341697390.r.fdccdn.net/live/tw_longxiang_sd.m3u8
台湾丨美亞電影台,http://341697390.r.fdccdn.net/live/tw_meiya_dy.m3u8
台湾丨非凡新聞台,http://341697390.r.fdccdn.net/live/tw_feifanxinwen.m3u8
台湾丨非凡商業台,http://341697390.r.fdccdn.net/live/tw_feifanshangye.m3u8
台湾丨年代新聞台,http://341697390.r.fdccdn.net/live/tw_niandaixinwen.m3u8
台湾丨壹新聞台,http://341697390.r.fdccdn.net/live/tw_yixinwen.m3u8
台湾丨亞洲旅遊台,http://341697390.r.fdccdn.net/live/tw_yazhou_ly.m3u8
台湾丨美食星球,http://341697390.r.fdccdn.net/live/tw_meishi_xq.m3u8
台湾丨迪士尼卡通,http://341697390.r.fdccdn.net/live/tw_dishini_kt.m3u8
台湾丨MTV,http://341697390.r.fdccdn.net/live/tw_mtv_hd.m3u8
台湾丨MTV Live,http://341697390.r.fdccdn.net/live/tw_mtv_yinyue.m3u8
台湾丨BOOM 卡通台,http://341697390.r.fdccdn.net/live/tw_boom_kt.m3u8
台湾丨澳門衛視,http://341697390.r.fdccdn.net/live/tw_aomen.m3u8
台湾丨FOX 體育1台,http://341697390.r.fdccdn.net/live/tw_foxsports.m3u8
台湾丨FOX 體育2台,http://341697390.r.fdccdn.net/live/tw_foxsports2.m3u8
台湾丨ELTA 體育1台,http://341697390.r.fdccdn.net/live/tw_elta_sports.m3u8
台湾丨ELTA 體育2台,http://341697390.r.fdccdn.net/live/tw_elta_sports2.m3u8
台湾丨ELTA 體育3台,http://341697390.r.fdccdn.net/live/tw_elta_sports3.m3u8
